,Chỉ tiêu bán lẻ (Hàng tháng) Đơn vị: Tỷ VND,Tổng mức bán lẻ hàng hóa,  Tăng trưởng YoY,Bán lẻ hàng hóa,  Tăng trưởng YoY2,"Dịch vụ lưu trú, ăn uống",  Tăng trưởng YoY3,Dịch vụ lữ hành,  Tăng trưởng YoY4,Dịch vụ khác,  Tăng trưởng YoY5
,12/2022,517660.095727582,0.1713,402808.02573482,0.1276,53115.903849643,0.3335,2109.905517543,1.1325,59626.260625577,0.3687
,01/2023,512320.508014117,0.1995,404346.715667319,0.1815,55427.190149309,0.3734,2586.056550622,1.1343,49960.545646867,0.1681
,02/2023,491620.856994697,0.1316,387159.300247196,0.105,52298,0.2731,2026.850918284,0.9469,50137.273970876,0.1866
,03/2023,492605.778061935,0.1344,388797.489262314,0.1128,52245.352475891,0.2551,2131.996268555,1.1391,49430.940055174,0.1694
,04/2023,511507.489756163,0.1152,403971.611497916,0.0968,53454.081220329,0.2109,2322.659706145,0.8602,51759.137331773,0.147
,05/2023,503058.653295479,0.1154,395990.985011378,0.1095,53676.937473002,0.1208,2583.961606231,0.4029,50806.769204868,0.146
,06/2023,506479.735237673,0.0654,397754.840916777,0.0597,53812.93039917,0.0651,3321.189108143,0.0784,51590.774813583,0.1112
,07/2023,510910.476098579,0.0711,397472.367050917,0.07,56669.901781156,0.0567,3629.044036514,0.0649,53139.163229993,0.0963
,08/2023,512211.655393856,0.0757,394127.684001049,0.0746,59022.059946974,0.108,3801.724694778,0.2135,55260.186751056,0.0423
,09/2023,528380.769840914,0.0747,406355.420529302,0.074,59319.840816239,0.1372,4020.532266057,0.4493,58684.976229317,0.0021
,10/2023,545231.451502481,0.0702,419044.850664842,0.0673,59581.970378958,0.1494,3913.495051388,0.5143,62691.135407293,0.0019
,11/2023,551714.380208089,0.101,426255.975005775,0.0911,58560.013022781,0.1832,3824.202316261,0.7094,63074.189863271,0.0728
,12/2023,515951.98924567,0.093,393686.742586739,0.0857,57804.464080391,0.1194,4832.753090172,0.7129,59628.029488368,0.0964
,01/2024,521781.609077941,0.0811,404590.927521483,0.0732,58645.566157949,0.1022,4335.726148003,0.185,54209.389250507,0.1122
,02/2024,506542.1,0.0849,392957.816162365,0.0701,57898.341556086,0.1843,4738.658337433,0.5998,50947.3428684,0.0633
,03/2024,511948.550278718,0.0917,394437.797805299,0.076,59363.860211742,0.1577,5090.431293211,0.6611,53057,0.1057
,04/2024,520142.545870354,0.0904,403828.534435585,0.0716,59842.769828557,0.1906,5104.709031838,0.5756,51366.532574374,0.0957
,05/2024,516774.609545039,0.0948,399693.853497293,0.082,59986.910040169,0.1696,5021.23924701,0.343,52072.606760568,0.0946
,06/2024,521247.185803443,0.0915,401088.821864979,0.0809,61189.965025471,0.1686,5314.095055384,0.0799,53654.30385761,0.0912
,07/2024,524336.572689659,0.0941,401789.467342938,0.086,61847,0.139,5686.528922901,0.0684,55014.078759909,0.1083
,08/2024,529241.810991702,0.0789,404976.899502176,0.0746,62448.1,0.0971,5256.777925031,0.0712,56559.974373063,0.0911
,09/2024,532881.018979433,0.0763,410159.195823361,0.077,59872.224031527,0.0794,4900.131413165,0.0186,57949.46771138,0.0736
,10/2024,557480.11720475,0.0712,427784.883568093,0.0736,62545.975921468,0.0651,5805.338866238,-0.0186,61343.918848952,0.0681
,11/2024,559992.587687579,0.0875,429042.749400211,0.0827,63236.458549136,0.1289,5281.877873298,0.1249,62431.501864935,0.0772
,12/2024,558421.085798235,0.0935,424215.526389145,0.0902,65356.037338607,0.1307,5369.454014988,0.0985,63480.068055495,0.0787
,01/2025,575830.289092192,0.0946,445922.462494248,0.0857,65835.16525381,0.1477,7031.579021885,0.1733,57041.08232225,0.0976
,02/2025,561508.717131344,0.0943,431357.119010823,0.0831,65518.641962254,0.1266,6929,0.1734,57704.475632709,0.1361
,03/2025,565610.659266998,0.1084,432359.691048955,0.0919,67718.228605426,0.1643,7323.064070171,0.2509,58209.675542447,0.1543
,04/2025,572388.91024355,0.1115,436234.055523306,0.0877,69824.76118007,0.1876,8503.85,0.4613,57826.243540174,0.1696
,05/2025,571213.852975527,0.1022,434052.56852732,0.0802,70464.81699844,0.191,8078.4,0.35,58618.067449767,0.1428
,06/2025,570364,0.0828,433212,0.0674,70330,0.1407,7441,0.2394,59382,0.1146
,07/2025,573342.356205337,0.092,433774.4,0.077,71766.375858957,0.163,8013.670947442,0.126,59787.79252331,0.114
,08/2025,588192.12312741,0.1059,448325.362547939,0.1023,70975.683977167,0.1315,7840.16290534,0.1522,61050.913696964,0.098
,09/2025,587042.3053007908,,446033.19314666366,,71521.87542076738,,8000.5,,61486.67170406333,
